instruction[8..0] sub_stage[2..0] carry barrow comp | RSC MA_In M_I M_O IR_I IR_O PC_O PC_Up PC_jmp ALU_inst[3..0] A_I A_O N1_I N1_O N2_I N2_O R0I R0O R1I R1O R2I R2O
    000001111           011         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000001111           100         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000001111           101         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000001111           110         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000010000           010         -     -     -   |  0    1    0   0   0    1    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000010000           011         -     -     -   |  0    0    1   0   0    0    0     0     0         0000       0   0   0    1    0    0    0   0   0   0   0   0
    000010000           100         -     -     -   |  1    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000010000           101         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000010000           110         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000010001           010         -     -     -   |  0    1    0   0   0    1    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000010001           011         -     -     -   |  0    0    1   0   0    0    0     0     0         0000       0   0   0    0    0    1    0   0   0   0   0   0
    000010001           100         -     -     -   |  1    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000010001           101         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000010001           110         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000010010           010         -     -     -   |  0    1    0   0   0    1    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000010010           011         -     -     -   |  0    0    1   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   1   0   0   0   0
    000010010           100         -     -     -   |  1    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000010010           101         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000010010           110         -     -     -   |  0    1    0   0   0    1    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000010011           010         -     -     -   |  0    1    0   0   0    1    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000010011           011         -     -     -   |  0    0    1   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   1   0   0
    000010011           100         -     -     -   |  1    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000010011           101         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000010011           110         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000010100           010         -     -     -   |  0    1    0   0   0    1    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000010100           011         -     -     -   |  0    0    1   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   1
    000010100           100         -     -     -   |  1    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000010100           101         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000010100           110         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000010101           010         -     -     -   |  0    1    0   0   0    1    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000010101           011         -     -     -   |  0    0    1   0   0    0    0     0     0         0000       0   1   0    0    0    0    0   0   0   0   0   0
    000010101           100         -     -     -   |  1    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000010101           101         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
